mac,ip,hostname,vendor,first_seen,last_seen,seen_count,active_count,inactive_count,total_minutes_online,activity_ratio
AA:BB:CC:DD:EE:01,192.168.1.1,router.local,Airtel,2026-03-16T20:11:28,2026-03-16T20:13:08,49,41,8,41.0,0.84
AA:BB:CC:DD:EE:02,192.168.1.10,MacBook-Pro,Apple Inc.,2026-03-16T20:11:28,2026-03-16T20:13:08,49,44,5,44.0,0.9
AA:BB:CC:DD:EE:03,192.168.1.11,iPhone,Apple Inc.,2026-03-16T20:11:28,2026-03-16T20:13:08,49,33,16,33.0,0.67
AA:BB:CC:DD:EE:04,192.168.1.12,Galaxy-S24,Samsung,2026-03-16T20:11:28,2026-03-16T20:13:08,49,43,6,43.0,0.88
AA:BB:CC:DD:EE:05,192.168.1.20,FireTV-Stick,Amazon,2026-03-16T20:11:28,2026-03-16T20:13:08,49,46,3,46.0,0.94
AA:BB:CC:DD:EE:06,192.168.1.21,Echo-Dot,Amazon,2026-03-16T20:11:28,2026-03-16T20:13:08,49,44,5,44.0,0.9
AA:BB:CC:DD:EE:07,192.168.1.30,HP-Printer,HP Inc.,2026-03-16T20:11:28,2026-03-16T20:13:08,49,6,43,6.0,0.12
AA:BB:CC:DD:EE:08,192.168.1.31,iPad-Air,Apple Inc.,2026-03-16T20:11:28,2026-03-16T20:13:08,49,41,8,41.0,0.84
AA:BB:CC:DD:EE:09,192.168.1.40,Smart-TV,LG Electronics,2026-03-16T20:11:28,2026-03-16T20:13:08,49,43,6,43.0,0.88
AA:BB:CC:DD:EE:10,192.168.1.41,Nest-Camera,Google Inc.,2026-03-16T20:11:28,2026-03-16T20:13:08,49,44,5,44.0,0.9
7A:54:B0:D6:5D:5,192.168.1.3,,Unknown,2026-03-16T20:23:56,2026-03-16T20:23:56,1,1,0,1.0,1.0
24:DE:8A:92:02:F1,192.168.1.1,unit,Nokia Solutions and Networks GmbH & Co. KG,2026-03-16T20:34:01,2026-03-23T16:39:27,5,5,0,5.0,1.0
00:0A:F5:AC:CC:AC,192.168.1.3,,"Airgo Networks, Inc.",2026-03-16T20:34:01,2026-03-23T16:39:27,4,4,0,4.0,1.0
7A:54:B0:D6:5D:05,192.168.1.10,,Unknown,2026-03-16T20:34:01,2026-03-23T16:39:27,5,5,0,5.0,1.0
B4:C4:FC:7E:5C:49,192.168.1.4,,Xiaomi Communications Co Ltd,2026-03-16T20:34:01,2026-03-19T22:14:49,4,4,0,4.0,1.0
46:AA:04:99:1F:ED,192.168.1.9,,Unknown,2026-03-16T20:34:01,2026-03-16T20:36:21,2,2,0,2.0,1.0
92:0A:7E:2B:C7:BD,192.168.1.7,,Unknown,2026-03-16T20:34:01,2026-03-19T22:14:49,3,3,0,3.0,1.0
DE:C2:91:D2:7E:6E,192.168.1.5,,Unknown,2026-03-16T20:36:21,2026-03-19T22:14:49,3,3,0,3.0,1.0
BC:14:85:DC:96:81,192.168.1.6,,"Samsung Electronics Co.,Ltd",2026-03-16T20:36:21,2026-03-19T22:14:49,3,3,0,3.0,1.0
