mac,ip,hostname,vendor,first_seen,last_seen,seen_count,active_count,inactive_count,total_minutes_online,activity_ratio
AA:BB:CC:DD:EE:01,192.168.1.1,router.local,Airtel,2026-03-16T08:00:00,2026-03-16T20:00:00,48,46,2,46.0,0.96
AA:BB:CC:DD:EE:02,192.168.1.10,MacBook-Pro,Apple Inc.,2026-03-16T08:00:00,2026-03-16T20:00:00,48,44,4,44.0,0.92
AA:BB:CC:DD:EE:03,192.168.1.11,iPhone,Apple Inc.,2026-03-16T08:00:00,2026-03-16T20:00:00,48,40,8,40.0,0.83
AA:BB:CC:DD:EE:04,192.168.1.12,Galaxy-S24,Samsung,2026-03-16T09:00:00,2026-03-16T19:30:00,42,35,7,35.0,0.83
AA:BB:CC:DD:EE:05,192.168.1.20,FireTV-Stick,Amazon,2026-03-16T18:00:00,2026-03-16T20:00:00,8,8,0,8.0,1.0
AA:BB:CC:DD:EE:06,192.168.1.21,Echo-Dot,Amazon,2026-03-16T08:00:00,2026-03-16T20:00:00,48,48,0,48.0,1.0
AA:BB:CC:DD:EE:07,192.168.1.30,HP-Printer,HP Inc.,2026-03-16T10:00:00,2026-03-16T10:15:00,1,1,0,1.0,1.0
AA:BB:CC:DD:EE:08,192.168.1.31,iPad-Air,Apple Inc.,2026-03-16T14:00:00,2026-03-16T17:00:00,12,10,2,10.0,0.83
AA:BB:CC:DD:EE:09,192.168.1.40,Smart-TV,LG Electronics,2026-03-16T19:00:00,2026-03-16T20:00:00,4,4,0,4.0,1.0
AA:BB:CC:DD:EE:10,192.168.1.41,Nest-Camera,Google Inc.,2026-03-16T08:00:00,2026-03-16T20:00:00,48,47,1,47.0,0.98
